排名,关键词,搜索指数,搜索热度
1,儿子太帅网友求出道,1064164, 
2,迪丽热巴,460527, 
3,搞笑红人周,436689, 
4,陈赫,407554, 
5,杰克船长再度回归,397573, 
6,唐嫣 连衣裙,374284, 
7,保姆被打一千二百个耳光,354105, 
8,蚊子最怕这杯水,329719, 
9,这场文艺晚会刷爆朋友圈,308034, 
10,北京欢乐谷,255767, 
11,陈冠希 如果我结婚了,207364, 
12,服务员婚宴用茶壶偷酒,182317, 
13,重度脑瘫儿子进哈佛,142856, 
14,欢乐颂手控,129778, 
15,奶茶妹妹女儿,123295, 
16,阿沁 雪梨,106534, 
17,中国第一古尸案,104738, 
18,女游客开车冲进洱海,97804, 
19,50岁辣妈酷似少女,96460, 
20,twice,84338, 
21,范冰冰短发,82728, 
22,郭富城方媛同框,74739, 
23,睡梦中觉得脖子痒随手一拍,72617, 
24,夏天十九岁的肖像,71420, 
25,马云 大学不读出来创业,71314, 
26,你外面似不似有狗了,67594, 
27,欢乐颂2,66325, 
28,勒索病毒被攻克,61963, 
29,跳了老公成别人的了,60321, 
30,骑50辆小黄车迎亲,56205, 
31,欢乐颂停播,53699, 
32,多家中介下调中介费,53618, 
33,凉面麻酱,52308, 
34,每晚饭后两小时来一套,51520, 
35,最孤独的学校,48419, 
36,朴槿惠绯闻男友,47605, 
37,四川音乐学院火灾,44319, 
38,邓超,44043, 
39,妈妈捡到200元想据为己有,41798, 
40,凤主 凌皇,41698, 
41,儿子把妈妈化妆成最美的女...,40210, 
42,微软总裁发出强烈控诉,40026, 
43,新人闹别扭新娘要跳楼,39842, 
44,朴有天 未婚妻,38578, 
45,男童被遗忘在校车内死亡,38093, 
46,我们的少年时代,38033, 
47,阿沁,38001, 
48,驯兽师脚踹狗熊,37970, 
49,神秘黑客组织曝光,37327, 
